device_os,amt,gender,city,job,category,city_pop,age_group,job_age_group,hour_sin,hour_cos
Windows,232.7,F,Test City,Lawyer,Groceries,2716000,16-30,Lawyer_16-30,0.5,0.866025403784439
other,273.67,F,New York,Teacher,Electronics,8419600,31-45,Teacher_31-45,-0.866025403784439,0.5
macOS,289.86,M,Test City,Teacher,Electronics,2716000,31-45,Teacher_31-45,0.5,0.866025403784439
Windows,60.12,F,Test City,Doctor,Groceries,3979576,16-30,Doctor_16-30,-0.965925826289069,0.25881904510252
other,168.89,M,Test City,Engineer,Travel,2716000,46-60,Engineer_46-60,0.5,-0.866025403784439
Windows,103.05,F,New York,Doctor,Apparel,8419600,46-60,Doctor_46-60,-0.5,-0.866025403784439
other,188.87,F,Test City,Engineer,Travel,2716000,60+,Engineer_60+,0,1
Windows,412.29,F,Test City,Doctor,Electronics,2716000,60+,Doctor_60+,0.707106781186548,-0.707106781186547
Windows,455.38,M,Test City,Doctor,Travel,2716000,31-45,Doctor_31-45,-0.965925826289069,0.25881904510252
other,204.94,M,New York,Artist,Entertainment,8419600,46-60,Artist_46-60,0.965925826289068,-0.258819045102521
Windows,138.85,F,Test City,Teacher,Travel,2716000,46-60,Teacher_46-60,0.707106781186548,-0.707106781186547
Windows,71.14,F,Test City,Clerk,Apparel,2716000,60+,Clerk_60+,-0.707106781186547,-0.707106781186548
other,309.45,F,Test City,Clerk,Groceries,2716000,31-45,Clerk_31-45,0.258819045102521,-0.965925826289068
macOS,12.99,F,Test City,Teacher,Entertainment,2716000,60+,Teacher_60+,0.866025403784439,-0.5
macOS,48.88,M,Test City,Engineer,Electronics,2716000,31-45,Engineer_31-45,-0.5,0.866025403784438
other,123.05,F,Test City,Doctor,Travel,2716000,31-45,Doctor_31-45,-0.258819045102522,0.965925826289068
Windows,237.87,M,Test City,Lawyer,Groceries,2716000,31-45,Lawyer_31-45,0.5,0.866025403784439
other,412.68,M,Test City,Teacher,Travel,2716000,31-45,Teacher_31-45,0.258819045102521,-0.965925826289068
macOS,493.8,F,Test City,Lawyer,Apparel,2716000,31-45,Lawyer_31-45,-0.5,0.866025403784438
Windows,84.25,F,Phoenix,Nurse,Apparel,1680992,46-60,Nurse_46-60,-0.866025403784438,-0.5
macOS,104.46,M,Test City,Doctor,Apparel,3979576,16-30,Doctor_16-30,0.965925826289068,-0.258819045102521
Windows,478.77,M,Phoenix,Teacher,Apparel,1680992,60+,Teacher_60+,0.5,0.866025403784439
macOS,369.02,F,Chicago,Engineer,Entertainment,2716000,46-60,Engineer_46-60,1,6.15826833971767e-17
macOS,496.64,F,Test City,Teacher,Travel,2716000,46-60,Teacher_46-60,-0.258819045102521,-0.965925826289068
macOS,240.97,M,Test City,Teacher,Groceries,2716000,31-45,Teacher_31-45,-0.5,-0.866025403784439
Linux,99.65,F,Test City,Clerk,Groceries,2716000,60+,Clerk_60+,0,1
Windows,395.75,M,Test City,Lawyer,Travel,2716000,60+,Lawyer_60+,1.22514845490862e-16,-1
macOS,322.73,M,Phoenix,Teacher,Groceries,1680992,60+,Teacher_60+,-0.258819045102521,-0.965925826289068
X11,242.58,F,Test City,Engineer,Groceries,2716000,31-45,Engineer_31-45,-0.5,0.866025403784438
Windows,200.98,F,Chicago,Nurse,Entertainment,2716000,31-45,Nurse_31-45,-0.965925826289068,-0.258819045102521
macOS,480.93,M,Test City,Teacher,Travel,2716000,60+,Teacher_60+,0.5,-0.866025403784439
X11,140.45,M,Test City,Lawyer,Groceries,2716000,16-30,Lawyer_16-30,1.22514845490862e-16,-1
macOS,3.88,F,New York,Lawyer,Travel,8419600,16-30,Lawyer_16-30,-0.965925826289069,0.25881904510252
other,75.81,F,Chicago,Doctor,Electronics,2716000,31-45,Doctor_31-45,0.707106781186547,0.707106781186548
Windows,254.04,F,Test City,Lawyer,Apparel,2716000,46-60,Lawyer_46-60,-0.965925826289069,0.25881904510252
Windows,236.11,F,Test City,Lawyer,Apparel,2716000,60+,Lawyer_60+,-0.965925826289068,-0.258819045102521
macOS,300.02,F,Test City,Teacher,Apparel,2328000,60+,Teacher_60+,0.258819045102521,0.965925826289068
other,343.16,F,Test City,Teacher,Apparel,2716000,46-60,Teacher_46-60,0.965925826289068,-0.258819045102521
other,259.83,M,Houston,Nurse,Apparel,2328000,16-30,Nurse_16-30,-0.258819045102521,-0.965925826289068
other,112.75,F,Test City,Engineer,Groceries,2716000,46-60,Engineer_46-60,0.965925826289068,0.258819045102521
other,149.77,F,Test City,Teacher,Electronics,2716000,31-45,Teacher_31-45,1,6.15826833971767e-17
Windows,104.1,F,Test City,Lawyer,Groceries,2716000,60+,Lawyer_60+,-0.5,0.866025403784438
Windows,303.82,F,Test City,Teacher,Apparel,2716000,46-60,Teacher_46-60,0.965925826289068,0.258819045102521
X11,93.35,F,Test City,Clerk,Entertainment,2716000,46-60,Clerk_46-60,0.258819045102521,0.965925826289068
Windows,57.31,M,New York,Lawyer,Groceries,8419600,31-45,Lawyer_31-45,0.258819045102521,0.965925826289068
macOS,435.84,M,New York,Nurse,Apparel,8419600,31-45,Nurse_31-45,-0.866025403784438,-0.5
Windows,209.09,F,Test City,Doctor,Travel,2716000,16-30,Doctor_16-30,0.5,0.866025403784439
other,454.55,F,Los Angeles,Nurse,Electronics,3979576,16-30,Nurse_16-30,0.258819045102521,-0.965925826289068
other,395.68,F,Test City,Doctor,Electronics,2716000,60+,Doctor_60+,0.707106781186548,-0.707106781186547
macOS,466.53,F,New York,Lawyer,Travel,8419600,60+,Lawyer_60+,0.866025403784439,0.5
other,15.05,M,Test City,Engineer,Groceries,2716000,31-45,Engineer_31-45,-1,-1.83880688453542e-16
other,283,F,Los Angeles,Lawyer,Electronics,3979576,16-30,Lawyer_16-30,0,1
Linux,27.81,F,Test City,Clerk,Entertainment,2716000,31-45,Clerk_31-45,0.866025403784439,-0.5
macOS,435.2,M,Test City,Clerk,Groceries,2716000,46-60,Clerk_46-60,-0.866025403784439,0.5
other,26.93,M,Houston,Engineer,Groceries,2328000,16-30,Engineer_16-30,0.965925826289068,0.258819045102521
Windows,322.01,M,Test City,Lawyer,Electronics,2716000,60+,Lawyer_60+,0.866025403784439,0.5
Windows,311.13,F,New York,Clerk,Groceries,8419600,16-30,Clerk_16-30,-1,-1.83880688453542e-16
other,391.95,M,Los Angeles,Artist,Apparel,3979576,31-45,Artist_31-45,0.965925826289068,0.258819045102521
other,29.13,M,Phoenix,Artist,Entertainment,1680992,46-60,Artist_46-60,-0.5,0.866025403784438
other,440.28,F,New York,Artist,Groceries,8419600,60+,Artist_60+,0.866025403784439,0.5
other,73.48,F,Test City,Lawyer,Groceries,2716000,60+,Lawyer_60+,-0.707106781186547,-0.707106781186548
Windows,469.6,M,Test City,Doctor,Travel,2716000,16-30,Doctor_16-30,0.707106781186548,-0.707106781186547
Linux,45.84,M,Test City,Lawyer,Travel,2716000,60+,Lawyer_60+,-0.866025403784439,0.5
other,253.1,M,Test City,Doctor,Entertainment,2716000,31-45,Doctor_31-45,1,6.15826833971767e-17
Windows,373.27,F,Test City,Teacher,Travel,2716000,60+,Teacher_60+,0.866025403784439,-0.5
macOS,492.21,F,Test City,Engineer,Groceries,2716000,46-60,Engineer_46-60,0.965925826289068,-0.258819045102521
macOS,201.16,M,Test City,Lawyer,Groceries,2716000,46-60,Lawyer_46-60,-0.5,-0.866025403784439
other,202.34,F,Los Angeles,Clerk,Groceries,3979576,60+,Clerk_60+,0.866025403784439,-0.5
other,392.8,F,Phoenix,Artist,Apparel,1680992,16-30,Artist_16-30,0.965925826289068,0.258819045102521
Linux,41.71,F,Los Angeles,Lawyer,Apparel,3979576,46-60,Lawyer_46-60,0.965925826289068,0.258819045102521
other,182.93,F,Test City,Clerk,Groceries,2716000,46-60,Clerk_46-60,-0.258819045102522,0.965925826289068
Windows,205.59,M,Test City,Teacher,Travel,2716000,16-30,Teacher_16-30,-0.5,-0.866025403784439
Windows,82.63,F,Test City,Clerk,Electronics,3979576,60+,Clerk_60+,-0.5,-0.866025403784439
other,204.17,F,Phoenix,Nurse,Groceries,1680992,16-30,Nurse_16-30,0.5,0.866025403784439
macOS,185.14,F,Chicago,Nurse,Travel,2716000,16-30,Nurse_16-30,0.5,-0.866025403784439
macOS,440.96,M,Los Angeles,Clerk,Travel,3979576,16-30,Clerk_16-30,0.707106781186548,-0.707106781186547
Windows,124.91,M,Test City,Teacher,Entertainment,2716000,31-45,Teacher_31-45,0.258819045102521,0.965925826289068
X11,290.19,F,Houston,Nurse,Travel,2328000,16-30,Nurse_16-30,0.5,-0.866025403784439
macOS,238.34,M,Test City,Doctor,Entertainment,2716000,46-60,Doctor_46-60,-0.258819045102521,-0.965925826289068
Linux,346.49,F,Test City,Clerk,Electronics,2716000,31-45,Clerk_31-45,-0.965925826289068,-0.258819045102521
other,164.59,F,Phoenix,Nurse,Groceries,1680992,16-30,Nurse_16-30,0.5,0.866025403784439
other,390.33,M,Phoenix,Doctor,Apparel,1680992,31-45,Doctor_31-45,0.258819045102521,-0.965925826289068
macOS,423.85,M,Chicago,Artist,Electronics,2716000,31-45,Artist_31-45,0.707106781186547,0.707106781186548
other,388.59,F,Test City,Clerk,Electronics,2716000,16-30,Clerk_16-30,0.866025403784439,0.5
macOS,63.97,F,Test City,Clerk,Groceries,2716000,31-45,Clerk_31-45,0.707106781186547,0.707106781186548
X11,444.42,M,Test City,Lawyer,Travel,3979576,60+,Lawyer_60+,-0.866025403784438,-0.5
macOS,155.01,F,Houston,Teacher,Electronics,2328000,46-60,Teacher_46-60,-1,-1.83880688453542e-16
Windows,108,M,Test City,Lawyer,Apparel,2716000,60+,Lawyer_60+,-0.866025403784438,-0.5
other,479,M,Test City,Doctor,Entertainment,2716000,31-45,Doctor_31-45,0.965925826289068,0.258819045102521
Windows,332.55,F,Test City,Doctor,Electronics,2716000,60+,Doctor_60+,0.258819045102521,0.965925826289068
macOS,55.95,M,Test City,Clerk,Electronics,2328000,16-30,Clerk_16-30,0.707106781186547,0.707106781186548
Linux,62.03,M,Test City,Engineer,Apparel,2716000,60+,Engineer_60+,0.866025403784439,0.5
other,262.17,M,Los Angeles,Teacher,Apparel,3979576,46-60,Teacher_46-60,-1,-1.83880688453542e-16
macOS,449.04,F,Test City,Engineer,Travel,2716000,46-60,Engineer_46-60,0.866025403784439,0.5
other,30.22,M,Chicago,Engineer,Electronics,2716000,60+,Engineer_60+,-0.965925826289068,-0.258819045102521
Linux,399.96,M,Test City,Doctor,Electronics,2716000,31-45,Doctor_31-45,-0.965925826289069,0.25881904510252
macOS,191.63,M,Test City,Engineer,Apparel,2716000,31-45,Engineer_31-45,-0.258819045102522,0.965925826289068
macOS,207.05,F,Test City,Lawyer,Electronics,2716000,60+,Lawyer_60+,0.707106781186547,0.707106781186548
other,323.63,F,Test City,Lawyer,Entertainment,2716000,60+,Lawyer_60+,-1,-1.83880688453542e-16
macOS,254.88,M,Test City,Doctor,Entertainment,2716000,46-60,Doctor_46-60,-0.965925826289069,0.25881904510252
Windows,66.71,M,Chicago,Clerk,Apparel,2716000,16-30,Clerk_16-30,0,1
Windows,329.2,F,Test City,Teacher,Groceries,2716000,31-45,Teacher_31-45,0.866025403784439,-0.5
Windows,473.88,F,Test City,Doctor,Travel,2716000,46-60,Doctor_46-60,-0.258819045102522,0.965925826289068
Windows,260.7,F,Test City,Engineer,Travel,2716000,31-45,Engineer_31-45,-0.5,-0.866025403784439
macOS,450.59,M,Test City,Lawyer,Travel,2716000,46-60,Lawyer_46-60,0.866025403784439,-0.5
other,21.21,M,New York,Clerk,Electronics,8419600,46-60,Clerk_46-60,-0.965925826289068,-0.258819045102521
Windows,435.21,F,Test City,Doctor,Electronics,2716000,60+,Doctor_60+,0.258819045102521,-0.965925826289068
other,1.68000000000001,M,Los Angeles,Doctor,Groceries,3979576,16-30,Doctor_16-30,-0.866025403784438,-0.5
Windows,274.89,M,Phoenix,Doctor,Electronics,1680992,16-30,Doctor_16-30,0.5,0.866025403784439
Linux,395.28,F,New York,Clerk,Travel,8419600,60+,Clerk_60+,-0.258819045102522,0.965925826289068
X11,179.33,M,Test City,Teacher,Travel,2716000,46-60,Teacher_46-60,-0.965925826289068,-0.258819045102521
other,356.32,F,Test City,Lawyer,Entertainment,2716000,60+,Lawyer_60+,0.707106781186548,-0.707106781186547
other,217.42,F,Test City,Teacher,Groceries,2716000,60+,Teacher_60+,0.707106781186547,0.707106781186548
macOS,82.84,M,Test City,Clerk,Groceries,2716000,60+,Clerk_60+,0.707106781186548,-0.707106781186547
macOS,77.91,M,Test City,Teacher,Apparel,2716000,60+,Teacher_60+,-0.5,-0.866025403784439
Windows,159.31,M,Los Angeles,Nurse,Apparel,3979576,31-45,Nurse_31-45,0.965925826289068,-0.258819045102521
X11,276.46,M,Test City,Lawyer,Apparel,2716000,46-60,Lawyer_46-60,0.258819045102521,0.965925826289068
X11,322.2,M,Test City,Clerk,Electronics,2328000,46-60,Clerk_46-60,-0.866025403784439,0.5
other,349.92,F,Test City,Lawyer,Travel,2716000,46-60,Lawyer_46-60,1,6.15826833971767e-17
other,17.99,M,Test City,Teacher,Electronics,2716000,60+,Teacher_60+,1,6.15826833971767e-17
other,138.4,M,Test City,Teacher,Electronics,2716000,31-45,Teacher_31-45,0.258819045102521,0.965925826289068
X11,458.83,M,Test City,Clerk,Travel,2716000,46-60,Clerk_46-60,-1,-1.83880688453542e-16
X11,415.5,F,Test City,Teacher,Groceries,2716000,46-60,Teacher_46-60,0.5,0.866025403784439
other,100.27,M,Phoenix,Clerk,Apparel,1680992,16-30,Clerk_16-30,-0.707106781186548,0.707106781186547
X11,350.61,M,Los Angeles,Clerk,Groceries,3979576,31-45,Clerk_31-45,1.22514845490862e-16,-1
X11,2.59999999999999,M,Test City,Teacher,Travel,2716000,46-60,Teacher_46-60,-1,-1.83880688453542e-16
X11,154.08,F,New York,Engineer,Groceries,8419600,46-60,Engineer_46-60,-0.866025403784438,-0.5
Windows,414.73,M,Test City,Lawyer,Apparel,3979576,16-30,Lawyer_16-30,-0.258819045102521,-0.965925826289068
Windows,263.36,F,Test City,Lawyer,Apparel,2716000,60+,Lawyer_60+,-0.5,-0.866025403784439
other,227.53,F,Phoenix,Doctor,Travel,1680992,60+,Doctor_60+,-0.707106781186547,-0.707106781186548
X11,135.25,F,Test City,Clerk,Electronics,2716000,16-30,Clerk_16-30,0.5,-0.866025403784439
Linux,467.06,F,Test City,Teacher,Electronics,2716000,31-45,Teacher_31-45,0.707106781186547,0.707106781186548
Windows,495.18,F,Chicago,Doctor,Electronics,2716000,46-60,Doctor_46-60,0.965925826289068,-0.258819045102521
other,378.38,M,Test City,Clerk,Electronics,3979576,46-60,Clerk_46-60,0.707106781186547,0.707106781186548
other,279.58,F,Test City,Teacher,Apparel,2716000,60+,Teacher_60+,1,6.15826833971767e-17
Windows,234.33,F,Test City,Lawyer,Apparel,2716000,60+,Lawyer_60+,-0.965925826289069,0.25881904510252
other,52.59,M,Houston,Lawyer,Electronics,2328000,60+,Lawyer_60+,0.965925826289068,-0.258819045102521
macOS,441.52,F,Test City,Engineer,Travel,2716000,31-45,Engineer_31-45,-0.5,-0.866025403784439
Windows,422,F,Chicago,Engineer,Groceries,2716000,46-60,Engineer_46-60,-0.707106781186548,0.707106781186547
macOS,320.76,M,Test City,Teacher,Travel,2716000,60+,Teacher_60+,0.707106781186547,0.707106781186548
macOS,435.73,M,Chicago,Doctor,Electronics,2716000,16-30,Doctor_16-30,0.5,0.866025403784439
macOS,253.22,M,Los Angeles,Engineer,Travel,3979576,31-45,Engineer_31-45,0.965925826289068,0.258819045102521
X11,216.95,M,Houston,Artist,Electronics,2328000,46-60,Artist_46-60,-0.866025403784438,-0.5
macOS,314.29,F,Test City,Teacher,Apparel,2716000,60+,Teacher_60+,-0.866025403784439,0.5
X11,432.51,F,Test City,Lawyer,Travel,2716000,46-60,Lawyer_46-60,1.22514845490862e-16,-1
Linux,161.75,M,Test City,Teacher,Travel,2716000,60+,Teacher_60+,-0.866025403784438,-0.5
macOS,250.49,M,Test City,Clerk,Entertainment,2716000,60+,Clerk_60+,-0.866025403784438,-0.5
Windows,136.01,M,Test City,Engineer,Travel,2716000,60+,Engineer_60+,-0.258819045102521,-0.965925826289068
macOS,301.47,M,Test City,Engineer,Travel,2716000,46-60,Engineer_46-60,0,1
macOS,324.47,M,New York,Doctor,Travel,8419600,31-45,Doctor_31-45,-0.866025403784439,0.5
macOS,105.54,M,Test City,Engineer,Apparel,2716000,31-45,Engineer_31-45,-0.707106781186548,0.707106781186547
other,215.84,F,New York,Lawyer,Entertainment,8419600,60+,Lawyer_60+,-0.707106781186547,-0.707106781186548
Windows,234.57,F,Test City,Teacher,Travel,2716000,46-60,Teacher_46-60,0.866025403784439,-0.5
macOS,135.68,F,Test City,Lawyer,Apparel,2716000,31-45,Lawyer_31-45,0.5,0.866025403784439
X11,214.99,M,Test City,Engineer,Apparel,2716000,46-60,Engineer_46-60,0.965925826289068,-0.258819045102521
macOS,46.18,F,Test City,Teacher,Apparel,2716000,60+,Teacher_60+,-1,-1.83880688453542e-16
macOS,433.45,M,Test City,Clerk,Entertainment,2716000,46-60,Clerk_46-60,0.5,-0.866025403784439
Linux,18.67,F,Test City,Clerk,Electronics,2716000,46-60,Clerk_46-60,0.707106781186547,0.707106781186548
Linux,454.71,M,Test City,Clerk,Travel,2716000,46-60,Clerk_46-60,0.258819045102521,0.965925826289068
Windows,167.25,F,Test City,Clerk,Groceries,2716000,31-45,Clerk_31-45,-0.707106781186547,-0.707106781186548
X11,185.67,F,Test City,Teacher,Entertainment,2716000,46-60,Teacher_46-60,0.707106781186547,0.707106781186548
Linux,425.66,F,Test City,Doctor,Groceries,2716000,60+,Doctor_60+,0.258819045102521,-0.965925826289068
Windows,330.58,M,Test City,Doctor,Travel,2716000,31-45,Doctor_31-45,-0.866025403784439,0.5
other,159.14,M,New York,Lawyer,Electronics,8419600,60+,Lawyer_60+,0.965925826289068,-0.258819045102521
macOS,132.73,F,Test City,Clerk,Apparel,2716000,60+,Clerk_60+,0,1
macOS,470.23,F,Test City,Teacher,Electronics,2716000,31-45,Teacher_31-45,1,6.15826833971767e-17
other,146.6,M,Test City,Lawyer,Travel,2716000,16-30,Lawyer_16-30,0.258819045102521,0.965925826289068
Linux,62.98,F,Test City,Teacher,Groceries,2716000,60+,Teacher_60+,0.707106781186548,-0.707106781186547
Windows,431.73,F,Test City,Engineer,Travel,2716000,31-45,Engineer_31-45,0.707106781186547,0.707106781186548
macOS,84.81,M,Test City,Clerk,Apparel,2716000,46-60,Clerk_46-60,-0.258819045102521,-0.965925826289068
macOS,168.83,F,Chicago,Artist,Travel,2716000,31-45,Artist_31-45,0.866025403784439,0.5
other,205.55,F,Test City,Doctor,Travel,2716000,16-30,Doctor_16-30,-0.707106781186548,0.707106781186547
other,130.6,F,Test City,Doctor,Groceries,2716000,31-45,Doctor_31-45,0.965925826289068,0.258819045102521
X11,143.31,M,Test City,Doctor,Entertainment,1680992,60+,Doctor_60+,0.965925826289068,-0.258819045102521
Windows,102.56,M,Houston,Teacher,Travel,2328000,46-60,Teacher_46-60,1,6.15826833971767e-17
other,402.16,F,Test City,Teacher,Apparel,2716000,60+,Teacher_60+,-0.707106781186548,0.707106781186547
other,165.97,F,Test City,Lawyer,Groceries,2716000,31-45,Lawyer_31-45,0.965925826289068,-0.258819045102521
Windows,268.39,M,Test City,Lawyer,Travel,2716000,60+,Lawyer_60+,0.258819045102521,-0.965925826289068
macOS,78.78,M,Test City,Doctor,Electronics,2716000,31-45,Doctor_31-45,-0.965925826289069,0.25881904510252
Windows,320.86,M,New York,Artist,Travel,8419600,16-30,Artist_16-30,-0.707106781186548,0.707106781186547
Windows,155.53,F,Test City,Lawyer,Entertainment,2716000,60+,Lawyer_60+,0.258819045102521,-0.965925826289068
other,371.63,M,Test City,Clerk,Electronics,2716000,46-60,Clerk_46-60,-0.5,-0.866025403784439
Windows,43.93,F,Phoenix,Clerk,Electronics,1680992,31-45,Clerk_31-45,0.866025403784439,-0.5
macOS,280.77,F,Test City,Doctor,Travel,2716000,46-60,Doctor_46-60,-0.965925826289069,0.25881904510252
macOS,37.55,F,Phoenix,Artist,Travel,1680992,46-60,Artist_46-60,0.258819045102521,-0.965925826289068
macOS,239.88,M,Test City,Teacher,Travel,2716000,16-30,Teacher_16-30,1,6.15826833971767e-17
other,395.74,F,Test City,Teacher,Entertainment,2716000,46-60,Teacher_46-60,0.965925826289068,0.258819045102521
macOS,214.76,F,Test City,Teacher,Travel,2716000,60+,Teacher_60+,0,1
other,170.34,M,Test City,Lawyer,Groceries,2716000,46-60,Lawyer_46-60,0.5,-0.866025403784439
Windows,361.76,F,Test City,Engineer,Apparel,2716000,46-60,Engineer_46-60,0.258819045102521,0.965925826289068
macOS,367.8,F,Test City,Lawyer,Electronics,2716000,46-60,Lawyer_46-60,-0.866025403784438,-0.5
other,341.85,M,Phoenix,Doctor,Travel,1680992,46-60,Doctor_46-60,0.258819045102521,-0.965925826289068
X11,222.06,M,Test City,Engineer,Apparel,2716000,46-60,Engineer_46-60,0.965925826289068,0.258819045102521
Windows,288.9,M,Test City,Lawyer,Electronics,2716000,60+,Lawyer_60+,0,1
Windows,112.37,F,Test City,Lawyer,Groceries,2716000,46-60,Lawyer_46-60,-1,-1.83880688453542e-16
Linux,22.35,M,Test City,Teacher,Electronics,2716000,16-30,Teacher_16-30,-0.965925826289069,0.25881904510252
macOS,414.31,F,Houston,Teacher,Apparel,2328000,31-45,Teacher_31-45,-0.965925826289068,-0.258819045102521
macOS,272.36,F,Test City,Clerk,Electronics,2716000,31-45,Clerk_31-45,0.866025403784439,0.5
X11,67.31,F,Test City,Doctor,Electronics,2716000,31-45,Doctor_31-45,0.5,0.866025403784439
other,243.47,F,Test City,Clerk,Groceries,2716000,16-30,Clerk_16-30,-0.5,-0.866025403784439
X11,53.93,F,Test City,Doctor,Apparel,2716000,60+,Doctor_60+,-0.707106781186548,0.707106781186547
macOS,310.49,F,Test City,Lawyer,Electronics,2716000,60+,Lawyer_60+,-1,-1.83880688453542e-16
Linux,3.56999999999999,F,Test City,Doctor,Electronics,2716000,60+,Doctor_60+,0.258819045102521,0.965925826289068
X11,378.74,F,Test City,Clerk,Electronics,2716000,16-30,Clerk_16-30,-0.5,-0.866025403784439
X11,378.42,F,Test City,Clerk,Travel,2328000,46-60,Clerk_46-60,0,1
other,108.83,F,Test City,Teacher,Groceries,2716000,46-60,Teacher_46-60,-1,-1.83880688453542e-16
other,5.49000000000001,M,Test City,Teacher,Electronics,2716000,60+,Teacher_60+,0.866025403784439,0.5
Windows,361.94,F,Test City,Clerk,Groceries,2716000,31-45,Clerk_31-45,0.866025403784439,-0.5
macOS,61.1,M,Chicago,Artist,Apparel,2716000,60+,Artist_60+,-1,-1.83880688453542e-16
other,168.09,F,Test City,Engineer,Electronics,2716000,46-60,Engineer_46-60,0.866025403784439,-0.5
X11,381.88,F,New York,Engineer,Electronics,8419600,16-30,Engineer_16-30,0.258819045102521,0.965925826289068
macOS,298.04,F,Test City,Teacher,Electronics,2716000,46-60,Teacher_46-60,0.965925826289068,0.258819045102521
Windows,23.69,M,Test City,Lawyer,Apparel,2716000,31-45,Lawyer_31-45,0.866025403784439,-0.5
other,191.6,M,Test City,Teacher,Apparel,2716000,60+,Teacher_60+,0.866025403784439,0.5
macOS,83.55,M,Test City,Engineer,Travel,2716000,60+,Engineer_60+,-0.5,0.866025403784438
Windows,162.48,F,Los Angeles,Clerk,Entertainment,3979576,31-45,Clerk_31-45,0.5,-0.866025403784439
Windows,161.94,M,Test City,Engineer,Electronics,2716000,60+,Engineer_60+,1,6.15826833971767e-17
Linux,163.42,F,Test City,Doctor,Electronics,2716000,46-60,Doctor_46-60,0.5,0.866025403784439
X11,132.65,M,Test City,Doctor,Entertainment,1680992,60+,Doctor_60+,0.866025403784439,0.5
Windows,242.05,F,Chicago,Lawyer,Groceries,2716000,31-45,Lawyer_31-45,-0.5,0.866025403784438
